cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_19787_+	Success	3.86828692164272	4	0.10171862989451	0.517122705899491	ZMYND11
chr10:clu_19788_+	Success	0.848490855629052	2	0.428060449754603	0.815681534904985	ZMYND11
chr10:clu_19789_+	Success	0.78801299191764	2	0.454747485087688	0.831060073361577	ZMYND11
chr10:clu_19790_+	Success	0.606418965748162	4	0.875980447118838	1	ZMYND11
chr10:clu_19791_+	Success	1.18163249630788	1	0.124221955052428	0.550176390152282	ZMYND11
chr10:clu_19792_+	Success	0.000678246340157784	1	0.970620079825972	1	ZMYND11
chr10:clu_19793_+	Success	0.00202074906462713	1	0.94931040772557	1	ZMYND11
chr10:clu_19794_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19795_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19796_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19797_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19798_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19799_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19800_+	Not enough valid samples	NA	NA	NA	NA	DIP2C-AS1
chr10:clu_19801_+	Success	0.0338390852366501	2	0.966727052777096	1	GTPBP4
chr10:clu_19802_+	Success	-0.0264931368556063	2	1	1	GTPBP4
chr10:clu_19803_+	Success	0.122539879025453	2	0.884670624437663	1	WDR37
chr10:clu_19804_+	Success	0.207930334457444	1	0.519009749976489	0.863889834058369	WDR37
chr10:clu_19805_+	Success	0.0941616395327287	1	0.664315816893321	0.930544081629906	WDR37
chr10:clu_19806_+	Success	0.936628821111753	4	0.759055728497436	0.964514447752384	WDR37
chr10:clu_19807_+	Success	0.723333577469475	1	0.22906348945956	0.66842859596758	PFKP
chr10:clu_19808_+	Success	0.597495513460757	1	0.274325113903085	0.711750105992989	PFKP
chr10:clu_19809_+	Success	0.828901201848623	1	0.197900300283035	0.636218465109446	PFKP
chr10:clu_19810_+	Success	3.20304057933254	3	0.0934409359838503	0.50407865151287	PFKP
chr10:clu_19811_+	Success	1.41520193063661	1	0.0924950966349272	0.502513108887996	PFKP
chr10:clu_19812_+	Success	1.60509923056895	1	0.0731806064724782	0.462694051850317	PFKP,AL451164.2,PITRM1-AS1
chr10:clu_19813_+	Not enough valid samples	NA	NA	NA	NA	AC025822.1,AC025822.2
chr10:clu_19814_+	Success	1.21681057731394	3	0.487406742452803	0.846183365620536	AKR1E2
chr10:clu_19815_+	Success	1.46712506962058	2	0.230587456053223	0.669633198328393	AKR1E2
chr10:clu_19816_+	Success	2.23354383317383	7	0.7246767659569	0.953991141963792	AKR1E2
chr10:clu_19817_+	Success	13.5447907731959	12	0.00750094633335508	0.211601429126355	AKR1E2
chr10:clu_19818_+	Success	0.960962512663627	5	0.859839320125727	0.997312702299085	NA
chr10:clu_19819_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_19820_+	Success	2.2684218753966	5	0.474969056712061	0.840502060404218	AKR1C1
chr10:clu_19821_+	Success	0.0174149582194332	1	0.851952508971484	0.994467315361059	AKR1C3
chr10:clu_19822_+	Success	1.87082390187425	4	0.442097497134505	0.82424977194165	NET1
