cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_22779_+	Success	0.31920966585767	2	0.726723164296398	0.916708988746923	ZMYND11
chr10:clu_22780_+	Success	1.92954974473832	2	0.145213566938855	0.470442210926202	ZMYND11
chr10:clu_22781_+	Success	0.915029050400335	2	0.400504991091492	0.721219420503967	ZMYND11
chr10:clu_22782_+	Success	0.171168268016118	1	0.558483624046554	0.827515755726908	ZMYND11
chr10:clu_22783_+	Success	4.19438715826982	3	0.0386244379518836	0.262088315186797	ZMYND11
chr10:clu_22784_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_22785_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_22786_+	Success	4.46600229589313	2	0.0114931704275401	0.144346930891665	NA
chr10:clu_22787_+	Success	6.53570475809352	4	0.0109320941445378	0.140433669355185	NA
chr10:clu_22788_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_22789_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_22790_+	Success	2.6558123663458	2	0.0702417534447434	0.34201319236724	DIP2C-AS1
chr10:clu_22791_+	Success	2.36838490575821	1	0.0295244566981478	0.231569674122901	GTPBP4
chr10:clu_22792_+	Success	4.24829569548456	4	0.0749906154194158	0.352309275303186	GTPBP4
chr10:clu_22793_+	Success	0.841712384832135	2	0.430971901459901	0.742492989021612	GTPBP4
chr10:clu_22794_+	Success	0.124614358214558	2	0.882837295896479	0.985618013588021	WDR37
chr10:clu_22795_+	Success	0.311891909937344	1	0.429644660463412	0.741428608117504	WDR37
chr10:clu_22796_+	Success	0.0805465925214719	1	0.688152035949061	0.898680755295963	WDR37
chr10:clu_22797_+	Success	0.43714865057882	4	0.928218980419604	1	WDR37
chr10:clu_22798_+	Success	1.67374071854852	1	0.0673079221768631	0.336041268632783	PFKP
chr10:clu_22799_+	Success	0.242199205924578	1	0.486436742676977	0.782324600243594	PFKP
chr10:clu_22800_+	Success	0.0777420937620832	1	0.693348613454478	0.901400029548467	PFKP
chr10:clu_22801_+	Success	0.543992664964037	1	0.296918026054551	0.637648870949232	PFKP
chr10:clu_22802_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_22803_+	Success	2.5597839664847	3	0.1632482641308	0.496464048642371	PFKP
chr10:clu_22804_+	Success	1.82238250773901	1	0.0562457404203271	0.309665299982908	PFKP
chr10:clu_22805_+	Success	-0.224216904904893	2	1	1	PFKP,AL451164.2,PITRM1-AS1
chr10:clu_22806_+	Not enough valid samples	NA	NA	NA	NA	AC025822.1,AC025822.2
chr10:clu_22807_+	Success	1.88516053018247	3	0.287357214036641	0.629198508861159	AKR1E2
chr10:clu_22808_+	Success	1.82912356805173	2	0.160554220978384	0.492551381619613	AKR1E2
chr10:clu_22809_+	Success	2.69259335800234	8	0.71572442294708	0.911345979801132	AKR1E2
chr10:clu_22810_+	Success	12.8512085613147	15	0.0412693637087752	0.269207320418336	AKR1E2
chr10:clu_22811_+	Success	2.18854822876619	8	0.821599570106738	0.960037501555939	NA
chr10:clu_22812_+	Success	3.3757806767826	5	0.239782313931562	0.58489795633133	AKR1C1
chr10:clu_22813_+	Success	0.00475064876906117	1	0.922349504860785	1	AKR1C1
chr10:clu_22814_+	Success	0.0129417516100148	1	0.872185151620025	0.981527844314099	AKR1C3
chr10:clu_22815_+	Success	0.247459194728435	1	0.481741488411012	0.779028632784139	AKR1C3
chr10:clu_22816_+	Success	1.74918633374909	4	0.478125827115517	0.776300120368292	NET1
chr10:clu_22817_+	Success	2.8075923200895	1	0.0178055050154785	0.180427977360681	NET1
chr10:clu_22818_+	Success	-0.0659193853789475	3	1	1	NET1
chr10:clu_22819_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NET1
chr10:clu_22820_+	Success	12.3350458423665	18	0.134276665395801	0.455076598284852	TASOR2
chr10:clu_22821_+	Success	-0.423711777955759	2	1	1	TASOR2
chr10:clu_22822_+	Success	0.00102416471190736	1	0.963901286843056	1	TASOR2
chr10:clu_22823_+	Success	0.975588809833425	2	0.376970324369187	0.703143358687463	TASOR2
chr10:clu_22824_+	Success	1.51839732597546	3	0.385986882352578	0.709917106362279	TASOR2
chr10:clu_22825_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TASOR2
chr10:clu_22826_+	Success	2.46010555544854	10	0.896443811215939	0.991160716602248	FBH1
chr10:clu_22827_+	Success	0.915397537492936	1	0.176033664057905	0.513015057756761	FBH1
chr10:clu_22828_+	Success	4.73588139757703	2	0.00877471141301216	0.125383264975465	FBH1
chr10:clu_22829_+	Success	1.17031365873481	2	0.310269607228993	0.649651740018214	FBH1
chr10:clu_22830_+	Success	0.357425476140293	1	0.397838101734235	0.718943216145095	FBH1
chr10:clu_22831_+	Success	3.71186245889885	3	0.0595510161436925	0.317157770676735	FBH1
chr10:clu_22832_+	Success	4.75404401155538	2	0.00861677829751646	0.124093857299999	FBH1
chr10:clu_22833_+	Success	4.16095285627802	1	0.00391698041662249	0.0813209156633114	RBM17
chr10:clu_22834_+	Success	0.583471015026134	1	0.28003046302897	0.62311053823145	RBM17
chr10:clu_22835_+	Success	2.37746988953177	1	0.0292143150850327	0.23012176369927	PFKFB3
chr10:clu_22836_+	Success	0.0915030117707829	1	0.668802537796767	0.888666379913933	PFKFB3
chr10:clu_22837_+	Success	1.32996617758909	2	0.26448620670971	0.607675317385221	PFKFB3
chr10:clu_22838_+	Success	4.31108483667776	6	0.195968311321691	0.537078181996902	PFKFB3
chr10:clu_22839_+	Not enough valid samples	NA	NA	NA	NA	PRKCQ-AS1
chr10:clu_22840_+	Success	0.370807079714723	2	0.690177077874783	0.899577802990638	ATP5F1C
chr10:clu_22841_+	Success	4.81322282790643	2	0.00812164281700802	0.120108582497397	ATP5F1C
chr10:clu_22842_+	Success	2.29872398533917	2	0.100386857133397	0.400054468200051	ATP5F1C
chr10:clu_22843_+	Success	2.28593155623457	4	0.334111213881499	0.669770930498792	ATP5F1C
chr10:clu_22844_+	Success	1.44367995940365	5	0.717346484448782	0.912264714861443	CELF2
chr10:clu_22845_+	Success	0.0142826426691158	1	0.865786669226913	0.979010599297654	CELF2
chr10:clu_22846_+	Success	5.85417109762784	5	0.0390102534968869	0.263218399902737	CELF2
chr10:clu_22847_+	Success	1.79405879964179	3	0.309512105901893	0.648751330338534	CELF2
chr10:clu_22848_+	Success	0.153113154214225	5	0.997524343029405	1	CELF2
chr10:clu_22849_+	Success	7.49567408084476	2	0.000555482150982886	0.0257010641851998	CELF2
chr10:clu_22850_+	Success	2.99442040055783	2	0.0500656366938978	0.293523710711483	ECHDC3
chr10:clu_22851_+	Success	12.5631459406795	16	0.0676297689378293	0.336336008376503	DHTKD1
chr10:clu_22852_+	Success	0.978528100939911	2	0.375863925657861	0.702278570398603	DHTKD1
chr10:clu_22853_+	Success	1.65182637906219	2	0.191699472800488	0.532463200253337	DHTKD1
chr10:clu_22854_+	Success	0.0719891394865044	2	0.930541001909436	1	DHTKD1
chr10:clu_22855_+	Success	1.70128398503493	2	0.182449111664926	0.521680053000172	DHTKD1,SEC61A2
chr10:clu_22856_+	Success	3.26808369769071	2	0.0380793287076203	0.261015626531311	SEC61A2
chr10:clu_22857_+	Success	5.80582818746689	3	0.00883906561155521	0.1258639737104	SEC61A2
chr10:clu_22858_+	Success	0.784451788943443	2	0.456369820201848	0.761654295833956	SEC61A2
chr10:clu_22859_+	Success	-0.801643874527713	3	1	1	SEC61A2
chr10:clu_22860_+	Success	3.07429740036241	2	0.0462220926011804	0.283167857712541	CDC123
chr10:clu_22861_+	Success	3.08763161788988	1	0.0129548634910073	0.153303864151961	CDC123
chr10:clu_22862_+	Success	0.523194363653602	2	0.592624463144961	0.848700844820137	CDC123
chr10:clu_22863_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_22864_+	Success	0.71862618370119	1	0.230584485105937	0.574941583157259	CAMK1D
chr10:clu_22865_+	Success	4.99356967555286	4	0.0406448760335195	0.267915154607934	OPTN
chr10:clu_22866_+	Success	0.0768538189095125	1	0.695017090900229	0.902255511867615	OPTN
chr10:clu_22867_+	Success	0.00727933521920932	1	0.90396088494081	0.994483560509745	OPTN
chr10:clu_22868_+	Success	0.815667650778778	2	0.442343897502682	0.751047121605721	OPTN
chr10:clu_22869_+	Success	3.74441566062023	3	0.0578461185950577	0.31312735566778	PRPF18
chr10:clu_22870_+	Success	2.44024457661726	5	0.430639033305205	0.742218472669973	PRPF18,AL157392.5
chr10:clu_22871_+	Success	12.6651443893552	18	0.116085446911724	0.42615957265562	PRPF18,AL157392.5,AL157392.3
chr10:clu_22872_+	Success	2.23678678678959	2	0.106801128419138	0.411194830826686	NA
