cluster	status	loglr	df	p	p.adjust	genes
chr10:clu_18525_+	Success	0.706564414610966	2	0.493336187906944	0.84553912664487	ZMYND11
chr10:clu_18526_+	Success	3.86050902534407e-05	1	0.992989132542215	1	ZMYND11
chr10:clu_18527_+	Success	0.974633919355256	2	0.37733046166095	0.774432043152194	ZMYND11
chr10:clu_18528_+	Success	1.71760488451764	2	0.1794955460385	0.605586839445272	ZMYND11
chr10:clu_18529_+	Success	0.355146937710288	1	0.399346269643755	0.788789082998001	ZMYND11
chr10:clu_18530_+	Success	4.38683127203331	3	0.0324565570760899	0.339283620869425	ZMYND11
chr10:clu_18531_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_18532_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_18533_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_18534_+	Not enough valid samples	NA	NA	NA	NA	DIP2C-AS1
chr10:clu_18535_+	Success	3.79333103398471	1	0.00588017244453705	0.17394249688091	GTPBP4
chr10:clu_18536_+	Success	7.13854026639729	2	0.0007939101483583	0.0783246845385252	GTPBP4
chr10:clu_18537_+	Success	0.314050266500999	2	0.73048230844686	0.952458101059015	GTPBP4
chr10:clu_18538_+	Success	0.499547245711256	2	0.606805331244738	0.906559417278538	WDR37
chr10:clu_18539_+	Success	1.15987634767748	4	0.677175116511237	0.934794529722308	WDR37
chr10:clu_18540_+	Success	2.16558685327107	1	0.0374204338349862	0.358814115913339	PFKP
chr10:clu_18541_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_18542_+	Success	3.22013334091173	2	0.0399497309719379	0.365350167939132	PFKP
chr10:clu_18543_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	AC025822.2
chr10:clu_18544_+	Success	-0.157696860993497	3	1	1	AKR1E2
chr10:clu_18545_+	Success	2.03934829883156	2	0.13011347835977	0.541269918451577	AKR1E2
chr10:clu_18546_+	Success	2.658649906145	8	0.723186551211882	0.949539535823371	AKR1E2
chr10:clu_18547_+	Success	19.3588211721853	14	0.000403214698507834	0.0566169699221069	AKR1E2
chr10:clu_18548_+	Success	1.23137140766903	5	0.782095324878776	0.970956206537988	NA
chr10:clu_18549_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_18550_+	Success	1.24997094893297	3	0.475301583791221	0.834925199107963	AKR1C1
chr10:clu_18551_+	Success	0.263662498178746	1	0.467733662733919	0.829978680692184	AKR1C3
chr10:clu_18552_+	Success	0.216777827452461	1	0.510249380364013	0.855203117022496	AKR1C3
chr10:clu_18553_+	Success	1.38500384522081	1	0.0960456998392717	0.488380303891027	NET1
chr10:clu_18554_+	Success	1.73263686247975	1	0.062670134209921	0.420535483450927	NET1
chr10:clu_18555_+	Success	-0.0259425299882423	6	1	1	NET1
chr10:clu_18556_+	Success	0.587234421895118	3	0.759134022646604	0.963122379057714	NET1
chr10:clu_18557_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NET1
chr10:clu_18558_+	Success	9.74147551002534	17	0.301525292918517	0.719243912840134	TASOR2
chr10:clu_18559_+	Success	1.73230960166961	1	0.0626949416663373	0.420541439304315	TASOR2
chr10:clu_18560_+	Success	0.887987617918043	2	0.411482981101623	0.795482819958818	TASOR2
chr10:clu_18561_+	Success	5.04721063669331	6	0.120731638896057	0.528393093059348	FBH1
chr10:clu_18562_+	Success	0.112352806204854	1	0.635477633124613	0.918398882971849	FBH1
chr10:clu_18563_+	Success	3.62357594493551	2	0.0266870741525022	0.313729003734381	FBH1
chr10:clu_18564_+	Success	1.23622941107169	2	0.290477426592252	0.709940580293556	FBH1
chr10:clu_18565_+	Success	0.366119470896479	2	0.693419952757473	0.939992553627724	FBH1
chr10:clu_18566_+	Success	0.110737631543998	2	0.89517358343204	1	FBH1
chr10:clu_18567_+	Success	2.59217519877086	1	0.0227911907415477	0.293720789749376	FBH1
chr10:clu_18568_+	Success	0.702907550111604	1	0.235752354602637	0.659669091265031	RBM17
chr10:clu_18569_+	Success	2.08330321427275	1	0.041228299273277	0.368636456218325	PFKFB3
chr10:clu_18570_+	Success	2.09963309213981	1	0.0404414758967947	0.366133165622833	PFKFB3
chr10:clu_18571_+	Success	0.0599495522501456	2	0.941812044684265	1	PFKFB3
chr10:clu_18572_+	Success	4.13292639091742	4	0.0823110061794464	0.46322596864999	PFKFB3
chr10:clu_18573_+	Not enough valid samples	NA	NA	NA	NA	PRKCQ-AS1
chr10:clu_18574_+	Success	1.13996803473492	2	0.319829245079508	0.73448132538161	ATP5F1C
chr10:clu_18575_+	Success	0.0230842093624233	2	0.977180192587491	1	ATP5F1C
chr10:clu_18576_+	Success	1.57992611360896	2	0.205990317523777	0.634204235753292	ATP5F1C
chr10:clu_18577_+	Success	5.596314182485	4	0.0244823422284761	0.303490760526915	ATP5F1C
chr10:clu_18578_+	Success	1.87759750929217e-05	1	0.995110622254418	1	CELF2
chr10:clu_18579_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr10:clu_18580_+	Success	4.37715156155173	6	0.1878746670411	0.615531333583767	CELF2
chr10:clu_18581_+	Success	2.54683942881456	2	0.0783288390631006	0.456411758825699	CELF2
chr10:clu_18582_+	Success	3.77288582328947	4	0.109707811442107	0.508594766527301	CELF2
chr10:clu_18583_+	Success	1.42956618837434	2	0.23941275975768	0.66313000486673	CELF2
chr10:clu_18584_+	Success	3.08768405750925	6	0.403834893358883	0.790261981954452	DHTKD1
chr10:clu_18585_+	Success	2.45336113437315	5	0.427369777889435	0.805617142555414	DHTKD1
chr10:clu_18586_+	Success	2.6159462718897	2	0.073098584822312	0.443559398425329	DHTKD1
chr10:clu_18587_+	Success	-1.81173293657957	2	1	1	DHTKD1
chr10:clu_18588_+	Success	0.673989425645004	2	0.509671221107176	0.854855120443226	DHTKD1,SEC61A2
chr10:clu_18589_+	Success	0.897640791111371	2	0.407529974842252	0.792714072842317	SEC61A2
chr10:clu_18590_+	Success	0.00448170387426217	2	0.995528323974337	1	CDC123
chr10:clu_18591_+	Success	1.24172762719013	2	0.28888470150907	0.709486810918985	CDC123
chr10:clu_18592_+	Success	1.72997448649767	2	0.177288933173786	0.60323149622011	CDC123
chr10:clu_18593_+	Success	0.285430541078881	1	0.449916948042718	0.818768023657943	CAMK1D
chr10:clu_18594_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr10:clu_18595_+	Success	2.69837635594195	4	0.248955165908726	0.673247241325537	OPTN
chr10:clu_18596_+	Success	1.77189498898451	1	0.0597687461410028	0.41366488350105	OPTN
chr10:clu_18597_+	Success	-0.000131367794892867	1	1	1	OPTN
chr10:clu_18598_+	Success	3.53921091922234	3	0.0694397650174589	0.435372184031582	PRPF18
chr10:clu_18599_+	Success	0.231992043427454	5	0.993382764916133	1	PRPF18,AL157392.5
chr10:clu_18600_+	Success	3.85446167998043	6	0.260213273384764	0.683688295057672	PRPF18,AL157392.5,AL157392.3
chr10:clu_18601_+	Success	0.998035123671343	3	0.573222739890209	0.891284702209387	AC069544.1,HSPA14
chr10:clu_18602_+	Success	0.00710696030802183	1	0.905099360084796	1	HSPA14
chr10:clu_18603_+	Success	0.412641906681756	1	0.363639818385432	0.765598889548629	HSPA14
chr10:clu_18604_+	Not enough valid samples	NA	NA	NA	NA	SUV39H2
chr10:clu_18605_+	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	OLAH
chr10:clu_18606_+	Success	6.84546419721482	4	0.00834970857698245	0.200373093982928	RPP38
chr10:clu_18607_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr10:clu_18608_+	Success	3.10238064561145	4	0.18436953460655	0.611775322074868	PTER
chr10:clu_18609_+	Success	0.737535434476058	2	0.478291244234166	0.836469376212794	PTER
chr10:clu_18610_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VIM,VIM-AS1
chr10:clu_18611_+	Success	0.0086571320425719	2	0.991380233022519	1	VIM
chr10:clu_18612_+	Success	1.44447238443172	1	0.0891893247904481	0.474813234058156	VIM
chr10:clu_18613_+	Success	0.906393788172863	1	0.178174195369347	0.60430297539661	VIM
chr10:clu_18614_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VIM
chr10:clu_18615_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr10:clu_18616_+	Success	0.76784400847464	4	0.820301536686603	0.983917728836994	STAM
chr10:clu_18617_+	Success	1.02183081157759	1	0.15284135100869	0.572185952010362	STAM
chr10:clu_18618_+	Success	1.20670155928201	2	0.299182489413482	0.716993548933382	STAM
chr10:clu_18619_+	Success	2.69520085788827	4	0.249532541462705	0.673684304616134	MRC1
chr10:clu_18620_+	Success	17.322458177212	5	1.77120227816601e-06	0.00488025054155973	MRC1
chr10:clu_18621_+	Success	1.58165178306081	4	0.530878359046143	0.867389275273347	MRC1
chr10:clu_18622_+	Success	0.140815920025489	1	0.595633640377338	0.90137162506097	MRC1
chr10:clu_18623_+	Success	-0.281020501455032	2	1	1	MRC1
chr10:clu_18624_+	Success	0.0730360594952799	1	0.702317602600871	0.942768511462232	CACNB2
chr10:clu_18625_+	Success	0.0322993725154674	1	0.799369763894918	0.977842449135851	CACNB2
chr10:clu_18626_+	Success	0.285609428621626	1	0.449774981122747	0.818669270339788	CACNB2
chr10:clu_18627_+	Success	0.972414104011079	1	0.163145252385221	0.586355866451288	CACNB2
chr10:clu_18628_+	Success	3.35255739313834	4	0.15231663279351	0.571863945700478	ARL5B
chr10:clu_18629_+	Success	3.9962822920759	1	0.00469698366122352	0.16242524598932	MALRD1
chr10:clu_18630_+	Success	0.395037804511048	2	0.67365457158578	0.933358936234023	MALRD1
chr10:clu_18631_+	Success	0.0969886523150194	1	0.659626753271453	0.928326877090372	MALRD1
chr10:clu_18632_+	Success	1.38878965693857	1	0.0955925509175762	0.487648966588887	PLXDC2
chr10:clu_18633_+	Success	0.0611481390692461	1	0.726557212982035	0.950966212994348	PLXDC2
chr10:clu_18634_+	Success	0.253773572208502	1	0.476202610667923	0.835545493643979	PLXDC2
chr10:clu_18635_+	Success	1.45606632383033	2	0.233151616177499	0.657405697720565	MLLT10
chr10:clu_18636_+	Success	3.52489580347174	7	0.423714069491532	0.80333505268353	MLLT10
chr10:clu_18637_+	Success	0.000261007791038992	1	0.981771790495917	1	MLLT10
chr10:clu_18638_+	Success	5.74579648380859	3	0.00934406664981851	0.209108990430964	MLLT10
chr10:clu_18639_+	Success	1.85947923381718	2	0.155753720522156	0.575244564331215	MLLT10
chr10:clu_18640_+	Success	1.030077442113	4	0.72469565319293	0.950383348887984	MLLT10
chr10:clu_18641_+	Success	2.42218426105137	7	0.678948945895879	0.935405062457961	MLLT10
chr10:clu_18642_+	Success	7.08777502300495	2	0.000835253719979966	0.0798180365738278	MLLT10
chr10:clu_18643_+	Success	3.6380050889602	2	0.0263047673290733	0.311539670811061	MLLT10
chr10:clu_18644_+	Success	0.424635649884749	1	0.356758565273515	0.761520492614165	MLLT10
chr10:clu_18645_+	Success	1.90946403256839	4	0.431065533912268	0.80759993425	MLLT10
chr10:clu_18646_+	Success	1.03155676332972	3	0.55941111565916	0.883790706684424	COMMD3,COMMD3-BMI1
chr10:clu_18647_+	Success	1.48265829061347	3	0.397003647857838	0.787253226824769	COMMD3,COMMD3-BMI1
chr10:clu_18648_+	Success	1.44046314318075	7	0.89579462790884	1	COMMD3,COMMD3-BMI1,BMI1
chr10:clu_18649_+	Success	0.38508062075357	2	0.680395779972835	0.935720144285311	MSRB2
chr10:clu_18650_+	Success	3.16367238044512	1	0.0118890187820025	0.231858906983122	MSRB2
chr10:clu_18651_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr10:clu_18652_+	Success	0.000613078058648853	1	0.972066574222472	1	KIAA1217
chr10:clu_18653_+	Success	0.31483138336219	1	0.427479040246668	0.805666421900778	KIAA1217
chr10:clu_18654_+	Success	4.87037048542902	2	0.0076705229444207	0.191852044050635	KIAA1217
chr10:clu_18655_+	Success	0.259324576358267	2	0.771572548188964	0.967906705985309	KIAA1217
chr10:clu_18656_+	Success	0.166892023422974	1	0.563439354019784	0.886421600618678	KIAA1217
chr10:clu_18657_+	Success	0.548106821156466	1	0.295098555703445	0.713142130756844	KIAA1217
chr10:clu_18658_+	Success	5.61545388881063	1	0.00080446287215787	0.0789336120879568	KIAA1217
chr10:clu_18659_+	Success	7.70287124493962	4	0.00392959761818802	0.150034690415346	KIAA1217
chr10:clu_18660_+	Not enough valid samples	NA	NA	NA	NA	AL512598.2,THNSL1
chr10:clu_18661_+	Success	0.927763612892704	2	0.395437072604394	0.786471426632455	APBB1IP
chr10:clu_18662_+	Success	2.86535912723411	2	0.0569626706119443	0.409040169800785	APBB1IP
chr10:clu_18663_+	Success	0.257432763076736	1	0.473040158702214	0.833648364195087	PDSS1
chr10:clu_18664_+	Not enough valid samples	NA	NA	NA	NA	PDSS1
chr10:clu_18665_+	Success	0.563687591811458	1	0.288335910213951	0.70900389279123	MASTL
chr10:clu_18666_+	Success	0.571395327569121	1	0.285063419423809	0.707100806437074	MASTL
chr10:clu_18667_+	Success	1.32351982841442	2	0.266196684394954	0.689625993752619	MASTL
chr10:clu_18668_+	Success	13.0074465173238	10	0.003720207168438	0.147467160651515	RAB18
chr10:clu_18669_+	Success	5.00823257281263	3	0.0184266929453308	0.273925450093052	WAC
chr10:clu_18670_+	Success	3.30522172900146	4	0.157963215325918	0.578942759193171	WAC
chr10:clu_18671_+	Success	7.75568542966539	10	0.114500509615108	0.517240037322007	WAC
chr10:clu_18672_+	Success	3.23250616114092	5	0.263562185384672	0.68663089528632	WAC
chr10:clu_18673_+	Success	1.16108469878395	2	0.3131463271562	0.728114212491602	WAC
chr10:clu_18674_+	Success	0.188937193855509	1	0.538743029098194	0.871843947886566	WAC
chr10:clu_18675_+	Success	0.0178553592832031	1	0.850114136318219	0.994917411701517	WAC
chr10:clu_18676_+	Success	1.04810707140041	2	0.35060078362504	0.756601365530091	SVIL-AS1
chr10:clu_18677_+	Success	12.3182838107914	11	0.0103007531378116	0.218856918111678	SVIL-AS1
chr10:clu_18678_+	Success	2.33027826018952	4	0.323931761485851	0.736847955544899	MAP3K8
chr10:clu_18679_+	Success	9.87776270627796	3	0.000190739988123952	0.0406578550678251	MAP3K8
chr10:clu_18680_+	Success	7.82039203279237	11	0.15499918726332	0.574425541896929	ZEB1
chr10:clu_18681_+	Success	0.137287416173422	2	0.87171964379881	1	ZEB1
chr10:clu_18682_+	Success	3.65921938734391	7	0.396493926680519	0.787017894178328	ZEB1
chr10:clu_18683_+	Success	0.00111696326280253	1	0.962302475594001	1	ZEB1
chr10:clu_18684_+	Success	0.957801687035044	2	0.383735530229089	0.778927291806652	CCDC7
chr10:clu_18685_+	Success	0.659932861570269	7	0.987900300351747	1	CCDC7
chr10:clu_18686_+	Success	3.40773373832053	14	0.941591371712092	1	CCDC7
chr10:clu_18687_+	Success	11.1507710723163	21	0.382315440610617	0.778163486825373	CCDC7
chr10:clu_18688_+	Success	1.95570127249448	7	0.789923737347001	0.974062891380141	CCDC7
chr10:clu_18689_+	Success	3.46115885100244	7	0.437012746208645	0.811417913616432	CCDC7
chr10:clu_18690_+	Success	0.379843400463358	1	0.383426555264246	0.778755486145712	CCDC7
chr10:clu_18691_+	Success	0.195489269722884	1	0.531785487925425	0.867834590787646	CCDC7
chr10:clu_18692_+	Not enough valid samples	NA	NA	NA	NA	CCDC7
chr10:clu_18693_+	Not enough valid samples	NA	NA	NA	NA	CCDC7
chr10:clu_18694_+	Not enough valid samples	NA	NA	NA	NA	CCDC7
chr10:clu_18695_+	Not enough valid samples	NA	NA	NA	NA	CCDC7
chr10:clu_18696_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr10:clu_18697_+	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr10:clu_18698_+	Success	14.6523239664348	21	0.106877451626412	0.504683501998955	CREM
chr10:clu_18699_+	Success	3.19668749258472	2	0.0408974529642717	0.367784690955734	CREM
chr10:clu_18700_+	Not enough valid samples	NA	NA	NA	NA	CCNY
chr10:clu_18701_+	Success	5.53381345269008	7	0.1356962501181	0.549796550102714	CCNY
chr10:clu_18702_+	Success	5.07766425317959	9	0.338057543359259	0.747519640508998	NA
chr10:clu_18703_+	Success	0.798404530708353	1	0.206356000062139	0.634515904782937	CCNY
chr10:clu_18704_+	Not enough valid samples	NA	NA	NA	NA	NA
chr10:clu_18705_+	Success	0.856694055679327	5	0.887208787046686	1	ZNF33A
chr10:clu_18706_+	Success	0.12344300210998	1	0.619276323138867	0.911740017646976	ZNF33A
chr10:clu_18707_+	Success	5.41296115429577	8	0.211759112915023	0.639448114074491	ZNF33A
chr10:clu_18708_+	Success	1.53350842966483	5	0.689654429131883	0.939148250307294	ZNF37A,PLD5P1
chr10:clu_18709_+	Success	0.280889619215031	1	0.453544247411469	0.821808753698204	ZNF37A,PLD5P1
chr10:clu_18710_+	Success	3.77115693474389	4	0.109857839710741	0.508881237114368	ZNF37A,PLD5P1
chr10:clu_18711_+	Success	5.23918273537038	4	0.0330963083357082	0.342995005954924	ZNF37A,PLD5P1
